,农林消费部门,能源供应部门,工业消费部门,交通消费部门,建筑消费部门,居民生活消费
2010,907.1542913735044,36.65390403655161,45231.66246434678,3074.392128128258,2836.544859824946,4346.420904425412
2011,1042.4014283881013,37.38958834085291,52981.486516565565,3286.648677750695,3310.561845317257,4608.440583638763
2012,1176.311096260667,37.09371573643625,54054.150301874586,3568.085185667551,,5148.003573420017
2013,1018.5116719959263,36.51462021014818,52235.36096737017,3853.512956808635,3950.6653459034987,5727.523887494791
2014,1031.0759262079102,33.41366635429254,51194.46332462843,4163.711012801177,3525.050035342398,4974.6012408460365
2015,1173.062861353921,35.16849729591784,51107.85815279837,4404.4321340260185,3922.7682893681986,5502.149008671434
2016,1221.5389796326397,35.28884588610009,52388.205517346956,4562.6532903495645,4251.063287238786,
2017,1255.4952474090778,35.54218116300537,52981.97869269984,4832.46499753524,4704.233727186695,
2018,1305.8628712895659,36.811120736107,52513.1922664362,5131.526383300614,5303.273424953415,
2019,1288.812327681756,36.662377402373615,54241.94634928961,5456.011317831247,5707.6308923778415,
2020,1248.9445963242429,35.86402801921136,52960.870369347984,5463.196844562235,,
