,农林消费部门,能源供应部门,工业消费部门,交通消费部门,建筑消费部门,居民生活消费
2010,345.35580725354566,5800.392980206734,14312.67920329506,1398.2619776707902,534.5788370631843,1148.0456258101444
2011,393.86702668881486,7973.611364113951,15171.856589122488,1494.7386706473028,620.8253310893081,1205.1268300005045
2012,448.9486951526875,8374.625097309983,15494.592242973116,1618.152854400306,690.8111094538947,1372.088109172749
2013,362.17627863487695,7541.327331096756,16347.80930080186,1743.6709983974667,738.2133823472927,1469.9069836084582
2014,383.7237045773141,6651.604695932301,17018.528789978176,1915.875700124185,728.3210820747706,1472.4517919903642
2015,429.3739020744315,7019.772681707409,17242.189999593076,2019.2855197624565,756.8250998666858,1566.1608653780197
2016,433.4621512932264,7205.122123339354,17724.55264300054,2083.5908407890665,794.9429777203263,1706.305882070972
2017,440.48634995125246,7485.235677626931,17832.32017458435,2187.957482163089,861.2439138149517,1862.6428585948931
2018,457.9946634938372,7456.99649730273,18123.659011436688,2324.6533110541336,976.1362626238084,2033.6869032323432
2019,438.5761222510792,7086.5644458829975,19109.552360592097,2482.9250537750127,1039.4597175275237,2070.4276853448173
2020,423.7818192603138,6453.24976276806,18872.74329961531,2484.4650329971887,1023.1530535890748,2180.6045862181545
